F1,F2,F3,F4,F5,X,Y,Z,Gesture
851.0,852.0,937.0,909.0,788.0,0.68,8.18,5.25,ILoveYou
851.0,851.0,936.0,909.0,827.0,1.83,8.39,5.63,ILoveYou
851.0,851.0,936.0,908.0,828.0,3.29,8.57,5.21,ILoveYou
851.0,851.0,935.0,908.0,815.0,2.99,8.66,4.97,ILoveYou
851.0,851.0,936.0,909.0,780.0,2.72,8.87,5.04,ILoveYou
853.0,851.0,935.0,909.0,779.0,3.5,8.37,5.3,ILoveYou
853.0,851.0,934.0,909.0,790.0,3.6,8.35,5.09,ILoveYou
853.0,851.0,935.0,908.0,821.0,3.63,8.5,5.07,ILoveYou
853.0,851.0,935.0,908.0,828.0,3.46,8.43,5.14,ILoveYou
854.0,851.0,935.0,908.0,817.0,0.68,8.17,5.32,ILoveYou
863.0,851.0,935.0,908.0,809.0,8.93,5.3,4.46,ILoveYou
860.0,850.0,935.0,909.0,794.0,6.65,6.43,4.6,ILoveYou
856.0,849.0,936.0,908.0,795.0,-0.82,9.35,4.9,ILoveYou
857.0,849.0,940.0,908.0,829.0,-3.51,8.61,0.17,ILoveYou
856.0,849.0,938.0,907.0,843.0,-1.98,8.6,-4.75,ILoveYou
855.0,849.0,937.0,908.0,828.0,-0.12,8.54,-3.49,ILoveYou
857.0,849.0,935.0,907.0,794.0,7.87,5.81,0.05,ILoveYou
861.0,849.0,934.0,907.0,781.0,7.41,-1.64,7.81,ILoveYou
861.0,849.0,932.0,907.0,784.0,6.75,-4.01,8.33,ILoveYou
854.0,849.0,939.0,907.0,834.0,8.59,5.09,-2.0,ILoveYou
839.0,831.0,919.0,890.0,756.0,1.41,9.31,2.63,ILoveYou
839.0,830.0,920.0,890.0,766.0,1.53,9.64,2.78,ILoveYou
839.0,831.0,919.0,889.0,784.0,1.64,9.53,2.72,ILoveYou
838.0,831.0,920.0,889.0,780.0,4.69,9.24,3.18,ILoveYou
833.0,830.0,919.0,889.0,780.0,6.35,7.58,4.35,ILoveYou
838.0,831.0,918.0,888.0,760.0,2.1,9.34,3.5,ILoveYou
832.0,831.0,917.0,889.0,766.0,7.09,5.68,5.76,ILoveYou
829.0,830.0,922.0,888.0,774.0,3.7,9.19,2.06,ILoveYou
837.0,830.0,921.0,888.0,793.0,1.91,9.7,2.34,ILoveYou
828.0,830.0,932.0,886.0,775.0,3.4,8.79,1.94,ILoveYou
827.0,832.0,922.0,885.0,750.0,2.63,9.18,1.42,ILoveYou
820.0,833.0,929.0,885.0,725.0,4.13,8.58,-1.21,ILoveYou
821.0,833.0,932.0,884.0,732.0,3.92,8.69,-0.49,ILoveYou
836.0,832.0,920.0,885.0,699.0,4.68,9.08,0.7,ILoveYou
824.0,831.0,922.0,885.0,728.0,-41.68,-77.23,33.1,ILoveYou
821.0,832.0,921.0,887.0,775.0,5.92,9.09,1.91,ILoveYou
823.0,832.0,922.0,890.0,778.0,0.98,8.64,5.28,ILoveYou
821.0,831.0,921.0,889.0,763.0,1.5,8.61,6.3,ILoveYou
820.0,831.0,921.0,888.0,735.0,3.66,7.82,6.31,ILoveYou
831.0,831.0,920.0,887.0,742.0,2.98,10.0,-0.16,ILoveYou
