F1,F2,F3,F4,F5,X,Y,Z,Gesture
924.0,914.0,942.0,928.0,810.0,-0.87,8.79,-1.68,Paws_Up
895.0,873.0,922.0,891.0,748.0,-2.12,9.31,-0.13,Paws_Up
895.0,872.0,919.0,890.0,744.0,-0.08,9.57,-0.44,Paws_Up
895.0,873.0,922.0,891.0,748.0,-2.12,9.31,-0.13,Paws_Up
895.0,872.0,919.0,890.0,744.0,-0.08,9.57,-0.44,Paws_Up
918.0,874.0,938.0,889.0,742.0,-4.1,6.31,-8.34,Paws_Up
903.0,865.0,913.0,886.0,786.0,1.71,7.22,-0.32,Paws_Up
904.0,860.0,906.0,881.0,751.0,3.35,8.15,6.0,Paws_Up
933.0,921.0,953.0,920.0,773.0,-3.55,8.12,-6.25,Paws_Up
946.0,917.0,936.0,907.0,779.0,0.74,8.11,-0.73,Paws_Up
952.0,923.0,944.0,913.0,787.0,2.58,8.82,1.61,Paws_Up
951.0,921.0,957.0,915.0,798.0,1.92,4.9,6.46,Paws_Up
947.0,919.0,949.0,922.0,802.0,-5.64,4.86,-7.42,Paws_Up
934.0,914.0,937.0,904.0,785.0,-1.72,6.14,-6.59,Paws_Up
927.0,908.0,929.0,901.0,788.0,2.44,9.63,3.99,Paws_Up
927.0,907.0,929.0,899.0,785.0,2.19,8.35,4.68,Paws_Up
932.0,909.0,936.0,907.0,798.0,-0.24,6.54,-0.32,Paws_Up
933.0,907.0,938.0,906.0,796.0,-5.52,5.17,-5.73,Paws_Up
926.0,903.0,932.0,901.0,789.0,2.16,9.86,0.33,Paws_Up
926.0,903.0,929.0,900.0,788.0,2.57,8.63,1.11,Paws_Up
925.0,902.0,930.0,900.0,785.0,2.57,9.9,1.58,Paws_Up
921.0,900.0,932.0,912.0,777.0,3.1,8.41,-2.62,Paws_Up
923.0,900.0,933.0,914.0,775.0,3.82,8.46,-2.83,Paws_Up
921.0,900.0,932.0,912.0,777.0,3.1,8.41,-2.62,Paws_Up
923.0,900.0,927.0,912.0,767.0,7.16,5.51,4.46,Paws_Up
921.0,900.0,926.0,910.0,776.0,5.75,7.98,-1.57,Paws_Up
919.0,899.0,924.0,908.0,769.0,0.28,9.77,-1.11,Paws_Up
919.0,900.0,924.0,907.0,772.0,1.0,9.29,-1.55,Paws_Up
918.0,899.0,924.0,907.0,776.0,0.41,8.3,-3.65,Paws_Up
918.0,899.0,924.0,907.0,784.0,1.07,7.41,-4.41,Paws_Up
918.0,899.0,924.0,907.0,777.0,0.78,8.52,-4.09,Paws_Up
918.0,899.0,923.0,906.0,764.0,0.48,7.11,-3.21,Paws_Up
918.0,899.0,923.0,906.0,775.0,1.78,7.63,-2.62,Paws_Up
917.0,898.0,923.0,907.0,764.0,0.43,8.1,-3.63,Paws_Up
932.0,899.0,928.0,913.0,795.0,-0.77,9.68,-0.84,Paws_Up
928.0,899.0,928.0,910.0,793.0,0.44,9.98,-1.12,Paws_Up
925.0,899.0,925.0,909.0,793.0,-1.23,9.47,-0.88,Paws_Up
923.0,899.0,924.0,909.0,778.0,-1.32,9.28,-0.1,Paws_Up
922.0,898.0,924.0,907.0,777.0,-1.86,9.32,-0.71,Paws_Up
924.0,897.0,923.0,907.0,779.0,-1.96,9.58,-1.36,Paws_Up
923.0,898.0,922.0,906.0,790.0,0.01,9.23,-1.14,Paws_Up
